Jours;Nouveaux_cas;Nouveaux_cas_est;Morts;Cas_confirmes;Cas_confirme_est
1;0.000000;0.000000;0.000000;0;0.000000;
2;0.000000;0.000000;0.000000;0;0.000000;
3;0.000000;0.000000;0.000000;0;0.000000;
4;0.000000;0.000000;0.000000;0;0.000000;
5;0.000000;0.000000;0.000000;0;0.000000;
6;0.000000;0.000000;0.000000;0;0.000000;
7;0.000000;0.000000;0.000000;0;0.000000;
8;0.000000;0.000000;0.000000;0;0.000000;
9;0.000000;0.000000;0.000000;0;0.000000;
10;0.000000;0.000000;0.000000;0;0.000000;
11;0.000000;0.000000;0.000000;0;0.000000;
12;0.000000;0.000000;0.000000;0;0.000000;
13;0.000000;0.000000;0.000000;0;0.000000;
14;0.000000;0.000000;0.000000;0;0.000000;
15;0.000000;0.000000;0.000000;0;0.000000;
16;0.000000;0.000000;0.000000;0;0.000000;
17;0.000000;0.000000;0.000000;0;0.000000;
18;0.000000;0.000000;0.000000;0;0.000000;
19;0.000000;0.000000;0.000000;0;0.000000;
20;0.000000;0.000000;0.000000;0;0.000000;
21;0.000000;0.000000;0.000000;0;0.000000;
22;0.000000;0.000000;0.000000;0;0.000000;
23;0.000000;0.000000;0.000000;0;0.000000;
24;0.000000;0.000000;0.000000;0;0.000000;
25;0.000000;0.000000;0.000000;0;0.000000;
26;0.000000;0.000000;0.000000;0;0.000000;
27;0.000000;0.000000;0.000000;0;0.000000;
28;0.000000;0.000000;0.000000;0;0.000000;
29;0.000000;0.000000;0.000000;0;0.000000;
30;0.000000;0.000000;0.000000;0;0.000000;
31;0.000000;0.000000;0.000000;0;0.000000;
32;0.000000;0.000000;0.000000;0;0.000000;
33;0.000000;0.000000;0.000000;0;0.000000;
34;0.000000;0.000000;0.000000;0;0.000000;
35;0.000000;0.000000;0.000000;0;0.000000;
36;0.000000;0.000000;0.000000;0;0.000000;
37;0.000000;0.000000;0.000000;1;0.000000;
38;0.000000;23.809524;0.000000;4;0.000000;
39;0.000000;47.619048;0.000000;5;0.000000;
40;0.000000;95.238095;0.000000;5;0.000000;
41;0.000000;142.857143;0.000000;5;0.000000;
42;0.000000;214.285714;0.000000;5;0.000000;
43;0.000000;285.714286;0.000000;5;0.000000;
44;1.000000;380.952381;0.000000;6;166.666667;
45;2.000000;500.000000;0.000000;6;333.333333;
46;5.000000;619.047619;0.000000;7;666.666667;
47;6.000000;785.714286;0.000000;7;1000.000000;
48;10.000000;976.190476;0.000000;7;1500.000000;
49;12.000000;1214.285714;0.000000;8;2000.000000;
50;15.000000;1523.809524;0.000000;12;2666.666667;
51;21.000000;1880.952381;0.000000;26;3666.666667;
52;25.000000;2214.285714;0.000000;41;4666.666667;
53;30.000000;2642.857143;0.000000;53;6166.666667;
54;37.000000;3071.428571;0.000000;82;7833.333333;
55;40.000000;3500.000000;0.000000;93;10000.000000;
56;44.000000;3880.952381;0.000000;118;12666.666667;
57;51.000000;4380.952381;0.000000;164;15833.333333;
58;60.000000;4857.142857;1.000000;203;19166.666667;
59;73.000000;5357.142857;1.000000;251;23166.666667;
